ID,QUESTION,ANSWER,Generated Answer,Precision,Recall,F1
15,Outline how selective breeding has changed with the development of new technology,"Selective breeding traditionally used cross breeding over many generations. However, new technology allows desired genes to be transferred more rapidly and accurately, and allows creation of transgenic species.","Selective breeding has evolved significantly with advancements in technology, enabling more precise and efficient selection processes. The use of genetic markers, DNA testing, and genomics has allowed breeders to identify specific genes associated with desired traits, streamlining the breeding process. Additionally, technologies like artificial insemination, embryo transfer, and reproductive biotechnology have improved fertility rates and enabled the creation of genetically identical offspring. This has accelerated the development of new breeds and improved existing ones.",0.584,0.68,0.628
16,Identity two common methods of plant propagation used in selective breeding,"Artificial pollination ensures that only the chosen male plant will fertilise the new seeds. Plant cuttings, grafting and using runners or suckers will produce identical plants for the next generation (e.g. for growing bananas commercially).","Cutting and grafting are two common methods of plant propagation used in selective breeding. Cutting involves taking a stem or leaf section from a mature plant and rooting it to produce a new individual with similar characteristics. Grafting involves joining a piece of stem (scion) from one plant onto the root system of another plant (rootstock), allowing the scion to grow while retaining desirable traits from the rootstock. These methods enable breeders to selectively propagate plants with desired qualities.",0.539,0.577,0.557
17,Outline four methods of cloning currently used in horticulture and agriculture,"The cloning methods used in agriculture and horticulture are: 
• cuttings and grafting 
• plant tissue culture 
• embryo splitting 
• nuclear transfer.","Somatic embryogenesis involves the regeneration of plants from somatic cells, allowing for the mass production of genetically identical plants. Micropropagation uses tissue culture techniques to rapidly multiply desirable plant varieties. Meristem culture involves the use of shoot tips or meristematic tissues to produce new plants with improved traits. Genetic engineering through biotechnology allows for the introduction of specific genes into crops to enhance desired characteristics.",0.491,0.54,0.514
18,Recall a situation where plant tissue culture is of benefit,"An endangered species could be saved by producing many new plants from a small piece of the rare parent plant. This strategy has been used for the Wollemi pine. Mass production of food plants with tissue culture saves time, money and reduces land use.","Plant tissue culture has been beneficial in producing disease-free and genetically uniform plants for commercial cultivation. For example, the technique was used to mass-produce disease-free potato tubers, which helped to eradicate the Irish Potato Famine virus that had devastated Ireland's crop yields in the 19th century. This method also enabled the rapid propagation of orchids and other ornamental plants, making them widely available for commercial sale.",0.505,0.548,0.526
19,Discuss the case for and against the manipulation of plant and animal breeding in agriculture. Use some specific examples in your answer.,"• For the manipulation of plant and animal breeding in agriculture—Many benefits come from selective breeding
 evidenced by the fact that all our agricultural plants and animals have been improved for human use by controlling
 their breeding. We have more nutritious and palatable fruit like apples and grain crops. Farm animals are more
 productive for milk, eggs and meat.
 • Against the manipulation of plant and animal breeding in agriculture—One risk is that a GM species could start
 breeding with related wild species such as the GM salmon. We also risk a further reduction in natural genetic variation.
 There are also many ethical concerns around selectively breeding animals and the consequences for their welfare.","The manipulation of plant and animal breeding in agriculture has both proponents and opponents. On one hand, genetic modification (GM) can increase crop yields, improve disease resistance, and enhance nutritional content, as seen in Golden Rice which contains beta-carotene to combat vitamin A deficiency. However, critics argue that GM crops can lead to the loss of biodiversity, contaminate non-GM crops, and pose unknown health risks, citing examples like the Roundup Ready soybeans which have been linked to increased herbicide use.",0.555,0.583,0.569
20,"Within a cell cycle, cell replication involves three phases. Identify and summarise the three phases.","The cell cycle involves three phases: interphase, mitosis and cytokinesis.
 Interphase involves the cell doubling its mass and duplicating all its components. DNA replication occurs during
 interphase.
 Mitosis is a process of division of the cell nucleus.
 Cytokinesis is the division of the cytoplasm into two daughter cells.","The three phases of cell replication within a cell cycle are Interphase, Mitosis, and Cytokinesis.

Interphase is the longest phase where the cell grows, prepares for DNA replication, and replicates its DNA. 
Mitosis is the phase where the replicated DNA is divided equally between two daughter cells.
Cytokinesis is the final phase where the cytoplasm divides and the cell splits into two daughter cells.",0.767,0.793,0.78
21,"Identify the two types of cell division, the number of daughter cells produced and the number of chromosomes in these daughter cells.","There are two types of cell division: mitosis and meiosis.

Mitosis: This process produces two genetically identical daughter cells, each having twice the number of chromosomes (2n). Mitosis is essential for growth, repair, and asexual reproduction in eukaryotes.
Meiosis: Meiosis reduces the number of chromosomes by half, resulting in four genetically distinct daughter cells. Each gamete has n chromosomes (23 in human sperm and egg). Meiosis increases genetic diversity, allowing for recombination and shuffling of alleles during sexual reproduction.","There are two main types of cell division: Mitosis and Meiosis. Mitosis produces 2 daughter cells with the same number of chromosomes as the parent cell (diploid). Meiosis, on the other hand, produces 4 daughter cells with half the number of chromosomes as the parent cell (haploid).",0.734,0.627,0.676
22,Recall the events that occur during interphase of the cell cycle,"During the S phase of interphase, DNA is synthesised (chromosomes are replicated); during G1 and G2—normal
 functioning of the cell occurs, the cell increases in size and replicates organelles, and materials are accumulated for
 mitosis; G0—resting phase or phase in which cells undergo cell differentiation to become specialised.","During interphase, which is the longest stage of the cell cycle, the cell grows and prepares for cell division. This phase is further divided into three stages: Gap 1 (G1), Synthesis (S), and Gap 2 (G2). In G1, the cell grows and increases its genetic material by producing new organelles and proteins. The S stage involves DNA replication, where the genetic material is duplicated to prepare for cell division.",0.662,0.675,0.668
23,Distinguish between a chromatid and a chromosome. When are they visible?,"Chromatids are replicates of the chromosome, joined at the centromere. When they separate at anaphase they are
 again called chromosomes. Chromosomes and chromatids become visible under a light microscope when they
 condense in prophase (and stay visible through metaphase, anaphase and telophase).","A chromatid is one of the two identical copies of DNA that make up a chromosome during the cell's interphase stage. Chromosomes, on the other hand, are composed of two joined chromatids and are visible during the prophase stage of mitosis or meiosis. During this stage, chromosomes condense and become visible under a microscope due to their compacted structure. This visibility is temporary, lasting only until metaphase when they line up at the cell's equator.",0.624,0.701,0.661
24,Explain how cell division in plants is different from cell division in animals,"Plant cells do not usually have a centriole (a structure present in animal cells); they form spindle fibres by a different
 mechanism, so chromosomes align and chromatids separate as in other eukaryotic cells. During cytokinesis the
 membrane does not constrict as it does in animals, but a new division (the cell plate) forms across the cell, making a
 new cell wall, then new cell membranes for each daughter cell.","In plants, cell division occurs through a process called mitosis, where the chromosomes are duplicated and then separated into two identical sets, resulting in two daughter cells with the same number of chromosomes. In contrast, animal cells undergo a similar process of mitosis, but also have a unique phase called cytokinesis, which involves the physical separation of the cytoplasm and cell membrane to form two distinct cells. Plant cells, however, lack a true nucleus during cell division, as their genetic material is contained within a large, central vacuole. This difference in cellular structure affects the process of cell division in plants compared to animals.",0.603,0.618,0.61
25,"Define 'apoptosis'. Explain the reasons for this process in a healthy organism, providing examples.","Apoptosis is a natural and highly controlled process of cell death within a multicellular organism. It is used to control
 the number of cells, to destroy cells with DNA damaged beyond repair and remove cells that have reached their ‘useby date’ or are surplus to body requirements. Examples in humans include: old red and white blood cells, damaged
 skin and intestinal lining cells, monthly menstruation to remove the extra lining of the uterus if pregnancy hasn’t
 occurred; in a developing human embryo: removal of excess brain cells and webbing between the digits. Examples in
 plants include: the root cap cells are destroyed by apoptosis and replaced as penetration into the soil damages them.
 Destruction of targeted cells for these reasons helps keep an organism renewed and healthy.","Apoptosis is a process of programmed cell death that occurs in multicellular organisms, including humans. It's a natural and essential process that helps maintain tissue homeostasis by eliminating damaged or unwanted cells, such as those with genetic mutations or excessive growth. This process prevents the development of cancer and ensures proper organ function, for example, removing old or damaged neurons in the brain to make way for new ones. In healthy organisms, apoptosis is tightly regulated and occurs at a controlled rate to maintain tissue balance.",0.655,0.594,0.623
26,Outline the basic functions of DNA and RNA.,DNA carries the instructions that code for the production of RNA and proteins. DNA can self-replicate. RNA plays a major role in partnership with DNA for the process of protein synthesis,"DNA (Deoxyribonucleic acid) serves as a blueprint for life by storing genetic information in the form of nucleotide sequences. It is responsible for passing on traits from one generation to the next. RNA (Ribonucleic acid), on the other hand, plays a crucial role in protein synthesis and gene expression by carrying genetic instructions from DNA to the ribosome.",0.499,0.671,0.573
27,"Distinguish between these terms: chromosome, DNA. genome, gene and allele.","A chromosome is a package of a single, very long DNA molecule coiled around a series of histone proteins.
 DNA is the molecule that contains the genetic information of organisms and determines their inherited characteristics.
 The genome of an organism is the sum total of an organism’s DNA, measured in the number of base pairs, contained
 in a haploid (n) set of chromosomes.
 A gene is a segment of DNA that codes for a polypeptide. One or more polypeptides form proteins, which carry out
 functions in organisms.
 An allele is one of two or more alternative forms of the same gene (e.g. alleles for different eye colours).","A chromosome is a thread-like structure made up of DNA that carries genetic information in the nucleus of living cells. The DNA is the molecule that contains the genetic instructions used in the development and function of all living organisms. A genome refers to the complete set of chromosomes or DNA in an organism, while a gene is a unit of heredity that is passed from one generation to the next and carries information for making a protein. An allele is a variant of a gene that occupies a specific location on a chromosome.",0.702,0.64,0.67
28,"Using the terms chromosome, histone, DNA and nucleosome, describe how DNA is packaged into a cell nucleus","A long thread of DNA is packed up so that it fits into the nucleus of every cell. The DNA in each chromosome is tightly
 coiled many times around proteins called histones that support its structure. The combined loop of DNA and histone
 is called a nucleosome. Next the nucleosomes are packaged into a thread, which is sometimes described as ‘beads
 on a string’. The end result is a fibre known as chromatin. The chromatin is looped and coiled again to produce a
 super-coiled thread-like structure called a chromosome.","DNA is packaged into a cell nucleus through the formation of chromatin, which consists of DNA wrapped around a core of histone proteins. This complex is known as a nucleosome, where approximately 147 base pairs of DNA are coiled around a histone octamer composed of two copies each of histones H2A, H2B, H3, and H4. The nucleosomes then further compact to form higher-order chromatin structures, ultimately fitting into the limited space within the cell nucleus. This packaging is crucial for regulating gene expression and maintaining genome stability.",0.635,0.662,0.648
29,How do cells ensure that the DNA is copied correctly to the daughter cells?,"A strand of the parent DNA molecule is used as a template strand on which the new complementary strand is
 synthesised. As each daughter DNA molecule consists of one old and one newly synthesised strand, the exact DNA
 pattern can be replicated accurately.","Cells employ a complex process called proofreading and editing during DNA replication to ensure accuracy. Enzymes such as helicase, topoisomerase, and polymerases work together to unwind, cut, and rejoin the DNA strands, respectively. Additionally, the cell's own genetic material serves as a template for the new DNA synthesis, allowing for precise copying of the original sequence. This multi-step process minimizes errors in DNA replication.",0.52,0.629,0.569
30,Assess the role of enzymes in DNA replication,"Enzymes are vital to the process of DNA replication, which would not begin or proceed without them. For example,
 separate enzymes manage the unzipping and rezipping of the two DNA strands. DNA polymerase is a complex of
 enzymes that selects and attaches the correct bases to the new strand and checks for errors at a rapid pace. Another
 enzyme manages the twisting tension of the double helix. Replication would not be possible without enzymes.","Enzymes play a crucial role in DNA replication by unwinding and unzipping the double helix structure, allowing the genetic material to be copied accurately. Helicase is an enzyme that breaks the hydrogen bonds between the two strands of DNA, while topoisomerase relaxes the supercoiled DNA molecule. DNA polymerase then reads the template strand and matches the incoming nucleotides to the base pairing rules, synthesizing a new complementary strand. This process ensures the faithful replication of genetic material during cell division.",0.653,0.662,0.658
31,Recall the names of the two cell division processes and define their main features.,"Mitosis—produces identical new cells for growth and repair
 Meiosis—produces sex cells (gametes) for sexual reproduction with a different combination of alleles to the parent cell","The two cell division processes are Mitosis and Meiosis. Mitosis is a type of cell division that results in two genetically identical daughter cells, each with the same number of chromosomes as the parent cell. It is essential for growth, repair, and maintenance of tissues. Meiosis, on the other hand, is a specialized type of cell division that reduces the chromosome number by half, resulting in four non-identical daughter cells with unique combinations of genetic traits.",0.531,0.636,0.579
32,Write a definition of ' species'.,"Members of the same species:
 • look alike (they are more alike in appearance than other organisms)
 • can interbreed in nature and their offspring are fertile (if they reproduce sexually)
 • cannot interbreed successfully with organisms outside their species group
 • have the same, or very similar, habitat requirements (i.e. have similar geographical distributions).","A species is a group of living organisms that share common characteristics and can interbreed to produce fertile offspring. This definition encompasses all types of life, including plants, animals, fungi, and microorganisms. The concept of a species helps classify and categorize the vast diversity of life on Earth. It provides a fundamental framework for understanding the relationships between different organisms.",0.498,0.518,0.508
33,Examine the importance of cell division to a eukaryotic organism.,"Eukaryotes have two types of cell division—mitosis and meiosis. Mitosis is the basis of cell replication in unicellular
 eukaryotes. In multicellular eukaryotes, mitosis is used for growth, cell replacement and tissue repair. Meiosis is the
 basis of sexual reproduction in multicellular eukaryotes. It is essential to produce gametes, and enables two parents to
 contribute genetic information to the offspring and maintain genetic variation in new generations of offspring.","Cell division is crucial for the growth and development of eukaryotic organisms as it allows for the reproduction of cells that make up tissues and organs. This process enables the organism to repair damaged cells, replace old or worn-out cells, and maintain homeostasis. Additionally, cell division is essential for the production of gametes (sperm and egg cells) in multicellular eukaryotes, facilitating sexual reproduction and genetic diversity.",0.679,0.687,0.683
34,Examine some of the main differences in gene regulation between prokaryotic and eukaryotic cells.,"In eukaryotic cells, transcription and RNA processing occur within the nucleus, while translation occurs in the cytoplasm. Eukaryotic gene expression is more complex and can be regulated at any stage. In prokaryotic cells, gene expression consists only of transcription and translation, and occurs in the cytoplasm of cells (as prokaryotic cells do not have a nucleus or any other membrane-bound organelles). Here, transcription and translation occur at almost the same time. Gene expression in prokaryotes is regulated during transcription.","In prokaryotic cells, genes are typically transcribed and translated simultaneously, with minimal post-transcriptional regulation. In contrast, eukaryotic cells have a more complex gene regulatory system, involving multiple layers of transcriptional and post-transcriptional control, including RNA splicing, editing, and degradation. Additionally, eukaryotic cells have a larger genome size and more complex chromatin structure, which affects gene expression. This complexity allows for greater flexibility in gene regulation and is thought to contribute to the increased diversity of eukaryotic organisms.",0.64,0.653,0.646
35,Explain why the chromosomes of eukaryotic cells can be seen under a light microscope but those of prokaryotes cannot,"The prokaryote chromosome contains only coding regions and no extra non-coding DNA. Also, a prokaryote is a
 simple single cell with many less genes. Eukaryote cells are more complex with many more genes and much longer
 DNA that includes a lot of introns. The extra amount of DNA will only fit into a nucleus if it is tightly condensed and
 super-coiled around histone proteins. This packaging makes eukaryotic DNA large enough to be visible as thread-like
 linear chromosomes when stained and viewed under a light microscope. The single prokaryote chromosome does not
 pack tightly together and is only visible as a dark nucleoid region.","The chromosomes of eukaryotic cells are visible under a light microscope because they are large and condensed during cell division. This condensation allows them to be stained with dyes, making them visible under the microscope. In contrast, prokaryotic cells have smaller, circular DNA molecules that are not condensed or organized into distinct chromosomes, making them invisible under a light microscope without special staining techniques.",0.688,0.614,0.649
36,Name the three types of RNA and outline their basic functions.,"Messenger RNA (mRNA) carries a copy of the nucleotide sequence of DNA that specifies the amino acid sequence for
 a protein. The mature mRNA travels from the nucleus to the cytosol, where it binds to ribosomes ready for translation.
 Ribosomal RNA (rRNA) forms a small organelle called a ribosome, which is the site at which the information in the
 mRNA is translated into a chain of amino acids.
 Transfer RNA (tRNA) molecules transfer amino acids from the cytoplasm to the ribosomes, where they are joined to
 form a polypeptide chain. The sequence of the chain is based on the sequence of nucleotides in the mRNA.","The three main types of RNA are messenger RNA (mRNA), transfer RNA (tRNA), and ribosomal RNA (rRNA). mRNA carries genetic information from DNA to the ribosome for protein synthesis. tRNA is responsible for transferring amino acids to the growing protein chain during translation, while rRNA makes up a large part of the ribosome itself and plays a crucial role in protein synthesis.",0.674,0.627,0.65
37,Identify the three stages of polypeptide synthesis in eukaryotes.,"The three stages of polypeptide synthesis in eukaryotes include: 
1. transcription which is the synthesis of mRNA
2. RNA processing, where the pre-mRNA is refined into mature mRNA
3. translation, as the polypeptide chain constructed at the ribosome from code on mature mRNA","The three stages of polypeptide synthesis in eukaryotes are transcription, translation initiation, and elongation/termination. During transcription, a complementary RNA copy is made from the DNA template. In translation initiation, the ribosome binds to the mRNA and positions itself at the start codon (AUG). Elongation/termination involves the assembly of amino acids into a polypeptide chain as the ribosome moves along the mRNA, with termination occurring when a stop codon is reached.",0.63,0.708,0.667
38,Outline the main structural features of eukaryotic genes and their functions.,"stop and start codons—regions at which encoding DNA begins and ends for a specific gene
 promoter regions—an upstream binding region for the enzyme that is involved in the encoding process
 (which is RNA polymerase)
 exons—DNA regions that are coding segments
 introns—DNA regions that are non-coding segments","Eukaryotic genes typically consist of a promoter region, an open reading frame (ORF), introns, exons, and a 3' untranslated region (UTR). The promoter region is responsible for initiating transcription, while the ORF encodes the protein sequence. Introns are non-coding regions that are removed during RNA splicing, whereas exons are coding regions that remain in the mature mRNA. The 3' UTR regulates gene expression and mRNA stability.",0.514,0.578,0.544
39,"Proteins are key components of cells. Outline, with
 examples, at least five different roles carried out by
 proteins.","Proteins have various functions in cells/organisms. They act as enzymes to catalyse all biochemical reactions, form structural components of cells and organs, are involved in movement (e.g. as contractile fibres in cells), are embedded in cell and organelle membranes as well as being involved in the transport of materials across membranes. They are also involved in the transport of substances such as oxygen in red blood cells by bonding to haemoglobin protein, for signal transduction, cell recognition, communication (e.g. as hormones like oestrogen) or antibodies involved in immune defence.","Proteins play a crucial role in various cellular functions. Here are five different roles carried out by proteins:

1. **Structural Role**: Proteins like collagen and keratin provide structural support to cells and tissues, giving them shape and rigidity.
2. **Enzymatic Role**: Enzymes such as lactase and amylase catalyze chemical reactions that break down nutrients into energy-producing molecules.
3. **Transportation Role**: Proteins like hemoglobin transport oxygen and other substances throughout the body, while proteins like albumin help regulate fluid balance.
4. **Signaling Role**: Proteins like hormones (e.g., insulin) and growth factors transmit signals between cells to coordinate various physiological processes.
5. **Defense Role**: Proteins like antibodies and complement proteins help protect against infections by recognizing and neutralizing pathogens.",0.548,0.636,0.589
40,Distinguish between the proteome and proteomics.,"A proteome is the complete set of proteins in an individual organism. Proteomics is the scientific study of the proteins, including the use of technologies that assist in studying and understanding proteins.","The proteome refers to the entire set of proteins expressed by an organism or system, while proteomics is the study of the proteome, involving the analysis of protein structure, function, and interactions. Proteomics encompasses various techniques such as mass spectrometry, chromatography, and bioinformatics to understand the complex relationships between proteins and their roles in biological processes. This field aims to provide a comprehensive understanding of the proteome's dynamics and its impact on cellular functions.",0.621,0.774,0.689
41,Compare fibrous and globular proteins,"Fibrous proteins are elongated with little or no tertiary folding, usually insoluble and have have structural roles like keratin in fingernails. Whilst globular proteins are compactly folded and coiled into spherical tertiary and quaternary structures, usually soluble such as enzymes and hormones are globular proteins.","Fibrous proteins have a long, rope-like structure and are typically found in connective tissue, hair, skin, and muscles. In contrast, globular proteins have a more compact, spherical shape and are often involved in cellular signaling, immune responses, and enzyme activity. The main difference between the two is their secondary and tertiary structure, with fibrous proteins having a high degree of alpha-helix content and globular proteins having a mix of alpha-helix and beta-sheet structures. This structural difference affects their function and properties.",0.583,0.626,0.604
