ID ,QUESTION,ANSWER,MARKS,CRITERIA
18,What is a zoonotic disease? Give an example of this type of disease.,"A zoonotic disease is a disease that has passed from an animal host to a human. An example is bovine spongiform encephalopathy (BSE) in cows, which can be transmitted to humans as variant Creutzfeldt-Jakob disease (vCJD).",2,"1 mark = Correctly defines ""zoonotic disease""

1 mark = Gives a correct example of a zoonotic diseas"
19,"How does sneezing advance transmission of
pathogens?",Some pathogens have adaptations that cause the host to produce extra mucus and cause discomfort resulting in sneezing. Sneezing can spread pathogens much faster and further to susceptible hosts than through direct skin-to-skin contact.,2,"1 mark = Correctly states what pathogens do to humans

1 mark = Correctly states why sneezing spreads faster"
20,"Explain why the lymphatic system
is an important part of the adaptive
immune response.","The lymphatic system is an important part of the immune response generally because it is involved in the transport of immune cells throughout the body, and of adaptive immune responses specifically, because secondary lymphoid tissues are sites where antigen-presenting cells present antigens to lymphocytes, activating them and stimulating an adaptive immune response.",2,"1 mark = Explains what lymphatic system is 

1 mark = explains why the lymphatic system is important"
21,How can an organism become pathogenic and cause disease?,"New diseases emerge because of mutations in a pathogen, as well as when pathogens are exposed to a selection pressure (e.g. a drug) or adapt to a new host. Mutations may enable a pathogen to move to a new host. New mutations may increase the virulence, that is the ability of the pathogen to move into a wider range of hosts.",2,"1 mark = Explains how organisms become pathogenic

1 mark = Explains why mtuations allow pathogens to move"
22,Explain how antiseptics and disinfectants differ from antibiotics.,"Disinfectants are used to kill pathogens on surfaces. Antiseptics are used to kill pathogens on the body. They are nonspecific chemicals, killing or inactivating most viruses, bacteria and fungi. Antibiotics are used in the body and are specific for a group of bacteria.",3,"1 mark = Explains what antiseptics are

1 mark = Explains what disinfectants are 

1 mark = Explains what antibiotics are"
23,Distinguish between an epidemic and a pandemic.,"An epidemic is the sudden increase in the number of cases of a disease, above what is normally expected in that population in that area. A pandemic is an epidemic that has spread over several countries or continents, usually affecting a large number of people.",3,"1 mark = correctly defines an epidemic

1 mark = correctly defines a pandemic

1 mark = links the difference between epidemic and pandemic"
24,Describe herd immunity.,"Herd immunity is when a large number of people in a population are immune to a pathogen, reducing the chance of it successfully spreading through that population.",1,1 mark = correctly defines 'herd immunity'
25,What are three mechanisms humans use to produce heat?,"Answers may include:
- voluntary movement/physical exercise
- shivering thermogenesis
- non-shivering thermogenesis
- increasing rate of cellular respiration (metabolism).",3,"1 mark = correctly includes only one mechanism

1 mark = correctly includes two mechanisms

1 mark = correctly includes 3 mechanisms"
26,What are 'signalling molecules'?,Signalling molecules are chemicals involved in communication between cells within the body.,1,1 mark = correctly defines signaling molecules
27,What is the liver's role in homeostasis? Outline the mechanism for this control.,"The liver minimises the greater changes in blood glucose levels that would otherwise occur after meals. The liver converts excess glucose to glycogen. If the liver is full of glycogen, the liver converts any further excess of glucose to fat, which is stored in adipose tissue. After treatment, blood returning to the heart has a relatively normal level of glucose.",2,"1 mark = defines the function of the liver

1 mark = defines the what it does with excess glucose"
28,What does a nutritional disease result from?,"Nutritional diseases can be caused by a lack of, imbalance or sometimes over-consumption of certain nutrients.",1,1 mark = correctly identifies what 'nutritional disease' is
29,Describe the two functions of the ear ossicles.,"The three ear bones (ossicles) amplify (increase) the sound volume and transmit the vibrations from tympanic membrane to oval window, where they pass into the cochlea.",2,"1 mark = defines one function correctly

1 mark = defines another function correctly"
30,Name the two hormones responsible for regulating salt and water in the human kidney.,ADH (antidiuretic hormone) responds to water level and aldosterone responds to salt level.,2,"1 mark = mentions one correct hormone

1 mark = mentions another correct hormone "
