ID,QUESTION,ANSWER,Generated Answer,Precision,Recall,F1
13,"Explain how two glands positioned in the brain, the hypothalamus and the pituitary, can control the reproductive organs","The hypothalamus acts as a master control centre, receiving information by nerve messages and by monitoring the blood as it flows through this area of the brain. It maintains homeostatic balance and reproductive processes for the body by sending out nerve messages and/or releasing hormones to other appropriate glands. The pituitary is thus controlled by messages from the hypothalamus for release of its hormones to act on target cells in the reproductive system. Hormones from the pituitary gland travel in the blood to their targets such as the mammary glands, the ovaries and testes. Some pituitary hormones act directly and others stimulate release of local hormones that act on their target cells by diffusing through the extracellular fluid.","The hypothalamus and pituitary glands play a crucial role in regulating the reproductive system by controlling the release of hormones that stimulate or inhibit puberty, menstruation, and fertility. The hypothalamus produces oxytocin, which is stored in the pituitary gland and released into the bloodstream upon stimulation. This hormone plays a key role in stimulating the release of milk during lactation and can also induce labor if it doesn't occur naturally. Additionally, the hypothalamus also regulates the reproductive cycle through the production of hormones such as follicle-stimulating hormone (FSH) and luteinizing hormone (LH), which stimulate the ripening of follicles in the ovaries and the release of eggs during ovulation. The pituitary gland then responds to these hormonal signals by releasing hormones that control the development and maintenance of the reproductive system.",0.636,0.649,0.642
14,Identify the steps of artificial selection that would lead to the production of large corn cobs,"The steps of artificial selection that would lead to production of large corn cobs include:

1. Select corn plants with the largest cobs for cross-pollination. 
2. Select offspring plants with largest cobs for cross-pollination. 
3. Continue this process until the population reliably produces large cobs.","To intentionally favor and accumulate advantageous traits over many generations, farmers can implement the processes of artificial selection. This involves breeding and reproduction, where individuals with desired traits are selected and allowed to reproduce, while those without are not. Natural variation plays a crucial role in this process, as it provides the raw material for selection to act upon.",0.521,0.492,0.506
15,Outline how selective breeding has changed with the development of new technology,"Selective breeding traditionally used cross breeding over many generations. However, new technology allows desired genes to be transferred more rapidly and accurately, and allows creation of transgenic species.","The key technological advancements that have revolutionized selective breeding practices include the development of polymerase chain reaction (PCR), DNA profiling, and gene cloning. These technologies enable breeders to make more precise genetic selections by analyzing the DNA of individuals or populations. Additionally, they allow for the rapid amplification and separation of specific DNA sequences, reducing the time and cost associated with traditional breeding methods. Furthermore, advances in data analysis have enabled the identification of trends, patterns, and relationships within large-scale collaborative projects, improving the efficiency of selecting for desirable traits.",0.528,0.638,0.578
16,Identity two common methods of plant propagation used in selective breeding,"Artificial pollination ensures that only the chosen male plant will fertilise the new seeds. Plant cuttings, grafting and using runners or suckers will produce identical plants for the next generation (e.g. for growing bananas commercially).","Two well-known techniques employed in controlled breeding programs to reproduce desirable traits in plants, such as unique flower colors or pest resistances, are genetic engineering and conventional breeding. Genetic engineering involves modifying the genes of targeted pathogens by disabling specific genes or silencing them, whereas conventional breeding focuses on selective breeding and cross-pollination to achieve desired traits.",0.506,0.53,0.517
17,Outline four methods of cloning currently used in horticulture and agriculture,"The cloning methods used in agriculture and horticulture are: 
• cuttings and grafting 
• plant tissue culture 
• embryo splitting 
• nuclear transfer.","The four primary methods of cloning employed in horticulture and agriculture to produce genetically identical organisms are not explicitly stated in the provided documents. However, based on the information available, we can infer that the following methods may be used:

1. Whole-organism cloning: This method involves creating a genetically identical copy of an entire organism.
2. Gene cloning: This method focuses on creating multiple copies of a specific gene or its products.

These methods are not explicitly mentioned in the documents, but they are implied as options for producing genetically identical organisms.",0.477,0.633,0.544
18,Recall a situation where plant tissue culture is of benefit,"An endangered species could be saved by producing many new plants from a small piece of the rare parent plant. This strategy has been used for the Wollemi pine. Mass production of food plants with tissue culture saves time, money and reduces land use.","Plant tissue culture can be beneficial in conserving rare species and producing disease-free crops, thereby ensuring food security and promoting sustainable agriculture. For instance, this technology enables the mass production of disease-free seeds, which can help prevent the spread of plant diseases that can significantly impact agricultural production. Additionally, plant tissue culture can also contribute to the conservation of rare or endangered plant species by allowing for the propagation of healthy plants in controlled environments.",0.562,0.579,0.571
19,Discuss the case for and against the manipulation of plant and animal breeding in agriculture. Use some specific examples in your answer.,"• For the manipulation of plant and animal breeding in agriculture—Many benefits come from selective breeding
 evidenced by the fact that all our agricultural plants and animals have been improved for human use by controlling
 their breeding. We have more nutritious and palatable fruit like apples and grain crops. Farm animals are more
 productive for milk, eggs and meat.
 • Against the manipulation of plant and animal breeding in agriculture—One risk is that a GM species could start
 breeding with related wild species such as the GM salmon. We also risk a further reduction in natural genetic variation.
 There are also many ethical concerns around selectively breeding animals and the consequences for their welfare.","The benefits of artificially selecting characteristics in plants and animals for agricultural purposes, such as increased yields or disease resistance, include improved crop yields, reduced pesticide use, and enhanced food security. Real-world examples like genetically modified organisms (GMOs) and selective breeding programs illustrate the potential advantages of genetic modification, including the production of disease-resistant crops and the development of biopesticides.

However, there are also drawbacks to consider, such as concerns about environmental impact, unintended consequences on ecosystems, and public perceptions of GMOs. The use of genetically modified organisms in agriculture has sparked debate and controversy, with some arguing that it is a necessary tool for addressing global food security challenges while others raise concerns about the potential risks and uncertainties associated with genetic modification.",0.559,0.587,0.573
20,"Within a cell cycle, cell replication involves three phases. Identify and summarise the three phases.","The cell cycle involves three phases: interphase, mitosis and cytokinesis.
 Interphase involves the cell doubling its mass and duplicating all its components. DNA replication occurs during
 interphase.
 Mitosis is a process of division of the cell nucleus.
 Cytokinesis is the division of the cytoplasm into two daughter cells.","The cell replication process, also known as the cell cycle, consists of three distinct stages: G1, S, and G2. The primary function of each stage is:

* G1 (growth phase): Cell growth and preparation for DNA replication.
* S (synthesis phase): DNA synthesis and replication occur during this phase.
* G2 (growth phase 2): Preparation for cell division, including detection and correction of errors.

These stages are crucial for the continuity of species, as they allow cells to be replicated through meiosis and mitosis, enabling asexual and sexual reproduction.",0.54,0.581,0.56
21,"Identify the two types of cell division, the number of daughter cells produced and the number of chromosomes in these daughter cells.","There are two types of cell division: mitosis and meiosis.

Mitosis: This process produces two genetically identical daughter cells, each having twice the number of chromosomes (2n). Mitosis is essential for growth, repair, and asexual reproduction in eukaryotes.
Meiosis: Meiosis reduces the number of chromosomes by half, resulting in four genetically distinct daughter cells. Each gamete has n chromosomes (23 in human sperm and egg). Meiosis increases genetic diversity, allowing for recombination and shuffling of alleles during sexual reproduction.","The two main types of cell division are Mitosis and Meiosis. 

Mitosis produces two daughter cells that are identical to the parent cell, with 46 chromosomes each. It is typically used for growth, repair, and asexual reproduction.

Meiosis, on the other hand, produces four daughter cells that are genetically unique, with half the number of chromosomes as the parent cell (23 instead of 46). This type of cell division is essential for sexual reproduction, as it creates genetic diversity by combining different maternal and paternal chromosome combinations in each gamete.",0.744,0.747,0.745
22,Recall the events that occur during interphase of the cell cycle,"During the S phase of interphase, DNA is synthesised (chromosomes are replicated); during G1 and G2—normal
 functioning of the cell occurs, the cell increases in size and replicates organelles, and materials are accumulated for
 mitosis; G0—resting phase or phase in which cells undergo cell differentiation to become specialised.","Here's the complete and concise response to your query:

The interphase period of the cell cycle is divided into two stages: G1 (Gap 1) and S (Synthesis). During the S stage, DNA replication takes place. This process begins with the unwinding of the double helix structure by an enzyme called helicase. The leading strand is replicated continuously in a 5' to 3' direction, while the lagging strand is replicated in short segments called Okazaki fragments, which are then joined together by an enzyme called ligase. DNA polymerase ensures the accuracy of the replication process by proofreading and correcting any errors that may occur. The result of this process is the production of two identical double-stranded DNA molecules, each containing one old strand (the template) and one new strand. This ensures the continuity of genetic information from one generation to the next.",0.501,0.614,0.552
23,Distinguish between a chromatid and a chromosome. When are they visible?,"Chromatids are replicates of the chromosome, joined at the centromere. When they separate at anaphase they are
 again called chromosomes. Chromosomes and chromatids become visible under a light microscope when they
 condense in prophase (and stay visible through metaphase, anaphase and telophase).","A chromatid refers to one of the two identical copies that make up a replicated chromosome, while a chromosome is a single unit of genetic information. In the cell cycle, chromosomes and chromatids are most easily distinguished from each other during prophase of mitosis or meiosis, when the duplicated chromosomes condense into visible structures and the sister chromatids are held together by the centromere.",0.631,0.644,0.637
24,Explain how cell division in plants is different from cell division in animals,"Plant cells do not usually have a centriole (a structure present in animal cells); they form spindle fibres by a different
 mechanism, so chromosomes align and chromatids separate as in other eukaryotic cells. During cytokinesis the
 membrane does not constrict as it does in animals, but a new division (the cell plate) forms across the cell, making a
 new cell wall, then new cell membranes for each daughter cell.","During plant cell division, cytokinesis involves the formation of a cell plate, whereas in animal cells, it involves the formation of a cleavage furrow. This difference is attributed to the distinct processes of mitosis and meiosis that occur in plants and animals. In plant cells, the process of meiosis results in the random segregation of chromosomes, independent assortment, and crossing over, which leads to the formation of a cell plate during cytokinesis. In contrast, animal cells undergo mitosis, resulting in the separation of sister chromatids along a cleavage furrow. These differences ultimately lead to the distinct characteristics observed in plant and animal cells.",0.603,0.596,0.6
25,"Define 'apoptosis'. Explain the reasons for this process in a healthy organism, providing examples.","Apoptosis is a natural and highly controlled process of cell death within a multicellular organism. It is used to control
 the number of cells, to destroy cells with DNA damaged beyond repair and remove cells that have reached their ‘useby date’ or are surplus to body requirements. Examples in humans include: old red and white blood cells, damaged
 skin and intestinal lining cells, monthly menstruation to remove the extra lining of the uterus if pregnancy hasn’t
 occurred; in a developing human embryo: removal of excess brain cells and webbing between the digits. Examples in
 plants include: the root cap cells are destroyed by apoptosis and replaced as penetration into the soil damages them.
 Destruction of targeted cells for these reasons helps keep an organism renewed and healthy.","Apoptosis, also known as programmed cell death, is a natural process that occurs in healthy organisms to eliminate damaged or dysfunctional cells. This mechanism helps maintain tissue homeostasis and prevents the accumulation of mutated cells that could potentially lead to cancer or other diseases. In addition, apoptosis plays a crucial role in development, where it helps shape tissues and organs by eliminating unnecessary cells. For example, during embryonic development, programmed cell death is essential for the formation of specific structures and patterns.",0.617,0.566,0.59
26,Outline the basic functions of DNA and RNA.,DNA carries the instructions that code for the production of RNA and proteins. DNA can self-replicate. RNA plays a major role in partnership with DNA for the process of protein synthesis,"DNA and RNA play fundamental roles in storing genetic information, transmitting traits, and guiding cellular processes. DNA serves as the primary repository for genetic information, storing the instructions necessary for an organism's development, growth, and function. Its double-stranded structure allows it to be replicated faithfully, ensuring that genetic traits are passed on from one generation to the next. RNA, on the other hand, plays a crucial role in transmitting genetic information by serving as a template for protein synthesis or as a regulator of gene expression.",0.556,0.703,0.621
27,"Distinguish between these terms: chromosome, DNA. genome, gene and allele.","A chromosome is a package of a single, very long DNA molecule coiled around a series of histone proteins.
 DNA is the molecule that contains the genetic information of organisms and determines their inherited characteristics.
 The genome of an organism is the sum total of an organism’s DNA, measured in the number of base pairs, contained
 in a haploid (n) set of chromosomes.
 A gene is a segment of DNA that codes for a polypeptide. One or more polypeptides form proteins, which carry out
 functions in organisms.
 An allele is one of two or more alternative forms of the same gene (e.g. alleles for different eye colours).","The fundamental biological concepts of chromosome, DNA, genome, gene, and allele are interconnected and play crucial roles in heredity. Here's a concise overview:

* Chromosome: A thread-like structure made up of DNA and proteins that carries genetic information.
* DNA (Deoxyribonucleic acid): A double-stranded molecule containing the genetic instructions for an organism. It's the main chemical component of chromosomes.
* Genome: The complete set of genetic information in an organism, including all its genes and non-coding regions.
* Gene: A segment of DNA that codes for a specific trait or characteristic. Genes carry the inherited information that gives organisms their characteristics.
* Allele: A variant of a gene that occupies the same position on a chromosome. Different alleles can result in different traits.

These concepts are interrelated, with genes making up part of the genome, and chromosomes carrying multiple genes. The sequence of nucleotides (A, C, G, and T) in DNA determines the genetic code for an organism's traits and characteristics.",0.586,0.639,0.611
28,"Using the terms chromosome, histone, DNA and nucleosome, describe how DNA is packaged into a cell nucleus","A long thread of DNA is packed up so that it fits into the nucleus of every cell. The DNA in each chromosome is tightly
 coiled many times around proteins called histones that support its structure. The combined loop of DNA and histone
 is called a nucleosome. Next the nucleosomes are packaged into a thread, which is sometimes described as ‘beads
 on a string’. The end result is a fibre known as chromatin. The chromatin is looped and coiled again to produce a
 super-coiled thread-like structure called a chromosome.","DNA gets packaged into the cell nucleus through a process called chromatin condensation. The long, thread-like DNA molecule coils around histone proteins to form a compact structure called chromatin. As the cell prepares for mitosis or meiosis, the chromatin becomes even more condensed and organized into visible chromosomes. These chromosomes then move into the nuclear envelope, which is made up of two membranes and various proteins that control what enters and leaves the nucleus. The nuclear membrane's pores allow certain molecules to pass through, while keeping others out. This packaging process ensures that the genetic material is safely stored within the nucleus until it's needed for cell growth and reproduction.",0.617,0.652,0.634
29,How do cells ensure that the DNA is copied correctly to the daughter cells?,"A strand of the parent DNA molecule is used as a template strand on which the new complementary strand is
 synthesised. As each daughter DNA molecule consists of one old and one newly synthesised strand, the exact DNA
 pattern can be replicated accurately.","Cells ensure accurate transmission of genetic information to daughter cells by employing various mechanisms. During replication, proofreading and editing mechanisms correct errors that may occur. Additionally, checkpoints are present to detect and correct any mistakes made during the process. This ensures that each daughter cell receives an exact copy of the original DNA, allowing for accurate transmission of genetic information.",0.525,0.579,0.55
30,Assess the role of enzymes in DNA replication,"Enzymes are vital to the process of DNA replication, which would not begin or proceed without them. For example,
 separate enzymes manage the unzipping and rezipping of the two DNA strands. DNA polymerase is a complex of
 enzymes that selects and attaches the correct bases to the new strand and checks for errors at a rapid pace. Another
 enzyme manages the twisting tension of the double helix. Replication would not be possible without enzymes.","Enzymes play a crucial role in the process of DNA replication by ensuring an accurate copy is made for each new cell generation. Specifically, enzymes such as helicase, DNA polymerase, and ligase work together to unwind the double-stranded DNA molecule, add nucleotides to the growing strands, and join Okazaki fragments on the lagging strand. Enzymes like DNA polymerase I also proofread and correct any replication errors that occur during the process. The accurate copying of DNA ensures that the genetic information is passed on to subsequent generations without errors or mutations, maintaining the continuity of species.",0.611,0.638,0.624
31,Recall the names of the two cell division processes and define their main features.,"Mitosis—produces identical new cells for growth and repair
 Meiosis—produces sex cells (gametes) for sexual reproduction with a different combination of alleles to the parent cell","The two primary types of cell division are mitosis and meiosis. Mitosis is a type of cell division that results in two identical daughter cells, each with the same number of chromosomes as the parent cell. This process occurs in somatic cells, which make up most of an organism's tissues, and is essential for growth, repair, and replacement of cells.

Meiosis, on the other hand, is a type of cell division that occurs in reproductive cells (gametes) and results in four non-identical daughter cells. This process is important for sexual reproduction, as it allows for genetic variation and diversity among offspring.",0.514,0.691,0.59
32,Write a definition of ' species'.,"Members of the same species:
 • look alike (they are more alike in appearance than other organisms)
 • can interbreed in nature and their offspring are fertile (if they reproduce sexually)
 • cannot interbreed successfully with organisms outside their species group
 • have the same, or very similar, habitat requirements (i.e. have similar geographical distributions).","The concept of a species in biology refers to a group of living organisms that share common characteristics, traits, and genetic makeup, which distinguishes them from other groups. The importance of species lies in understanding the diversity of life on Earth, as it plays a crucial role in ecosystem functioning, evolution, and conservation efforts.",0.483,0.469,0.476
33,Examine the importance of cell division to a eukaryotic organism.,"Eukaryotes have two types of cell division—mitosis and meiosis. Mitosis is the basis of cell replication in unicellular
 eukaryotes. In multicellular eukaryotes, mitosis is used for growth, cell replacement and tissue repair. Meiosis is the
 basis of sexual reproduction in multicellular eukaryotes. It is essential to produce gametes, and enables two parents to
 contribute genetic information to the offspring and maintain genetic variation in new generations of offspring.","Cell division plays a crucial role in ensuring the survival, growth, and reproduction of eukaryotic organisms such as humans and plants. It allows for the creation of new cells to replace old or damaged ones, enables the development of complex tissues and organs, and facilitates the passing on of genetic information from one generation to the next through meiosis and fertilization. Additionally, cell division is essential for the growth and development of multicellular organisms, as it allows for the production of specialized cells with unique functions.",0.621,0.659,0.639
34,Examine some of the main differences in gene regulation between prokaryotic and eukaryotic cells.,"In eukaryotic cells, transcription and RNA processing occur within the nucleus, while translation occurs in the cytoplasm. Eukaryotic gene expression is more complex and can be regulated at any stage. In prokaryotic cells, gene expression consists only of transcription and translation, and occurs in the cytoplasm of cells (as prokaryotic cells do not have a nucleus or any other membrane-bound organelles). Here, transcription and translation occur at almost the same time. Gene expression in prokaryotes is regulated during transcription.","The primary distinctions in controlling gene expression between prokaryotic cells, such as bacteria, and eukaryotic cells, including humans, lie in the complexity of their cellular structures and functions. In prokaryotes, gene regulation is mainly controlled by transcription factors and operons, whereas in eukaryotes, multiple levels of control, including epigenetics, transcriptional regulation, and post-transcriptional modification, contribute to the specificity of gene expression.",0.617,0.632,0.624
35,Explain why the chromosomes of eukaryotic cells can be seen under a light microscope but those of prokaryotes cannot,"The prokaryote chromosome contains only coding regions and no extra non-coding DNA. Also, a prokaryote is a
 simple single cell with many less genes. Eukaryote cells are more complex with many more genes and much longer
 DNA that includes a lot of introns. The extra amount of DNA will only fit into a nucleus if it is tightly condensed and
 super-coiled around histone proteins. This packaging makes eukaryotic DNA large enough to be visible as thread-like
 linear chromosomes when stained and viewed under a light microscope. The single prokaryote chromosome does not
 pack tightly together and is only visible as a dark nucleoid region.","The chromosomes of eukaryotic cells are observable under a light microscope because they are larger and more condensed than those of prokaryotes. During mitosis in eukaryotes, the chromosomes condense into visible structures that can be seen with a light microscope. In contrast, prokaryotic cells lack membrane-bound organelles and their DNA is not condensed during cell division, resulting in smaller and less visible chromosomes that cannot be resolved by light microscopy.",0.674,0.615,0.643
36,Name the three types of RNA and outline their basic functions.,"Messenger RNA (mRNA) carries a copy of the nucleotide sequence of DNA that specifies the amino acid sequence for
 a protein. The mature mRNA travels from the nucleus to the cytosol, where it binds to ribosomes ready for translation.
 Ribosomal RNA (rRNA) forms a small organelle called a ribosome, which is the site at which the information in the
 mRNA is translated into a chain of amino acids.
 Transfer RNA (tRNA) molecules transfer amino acids from the cytoplasm to the ribosomes, where they are joined to
 form a polypeptide chain. The sequence of the chain is based on the sequence of nucleotides in the mRNA.","The three main types of RNA are messenger RNA (mRNA), transfer RNA (tRNA), and ribosomal RNA (rRNA). mRNA carries genetic information from DNA to the cytoplasm, where proteins are made. tRNA carries amino acids to the ribosome during translation to help build a protein chain. rRNA makes up part of the ribosome, which is responsible for protein synthesis. The main difference between these types of RNA is their function in the cell.",0.696,0.672,0.684
37,Identify the three stages of polypeptide synthesis in eukaryotes.,"The three stages of polypeptide synthesis in eukaryotes include: 
1. transcription which is the synthesis of mRNA
2. RNA processing, where the pre-mRNA is refined into mature mRNA
3. translation, as the polypeptide chain constructed at the ribosome from code on mature mRNA","The process of polypeptide synthesis in eukaryotic cells involves the following sequential steps:

1. Transcription: The DNA sequence is copied into a complementary RNA molecule by an enzyme called RNA polymerase.
2. Translation: The RNA sequence is then translated into a polypeptide chain through a process that involves binding of amino acids to transfer RNAs (tRNAs) and assembly into the correct order.

Please note that there are no documents provided that directly relate to polypeptide synthesis, but based on my understanding of molecular biology, I've provided an answer using general knowledge.",0.579,0.701,0.634
38,Outline the main structural features of eukaryotic genes and their functions.,"stop and start codons—regions at which encoding DNA begins and ends for a specific gene
 promoter regions—an upstream binding region for the enzyme that is involved in the encoding process
 (which is RNA polymerase)
 exons—DNA regions that are coding segments
 introns—DNA regions that are non-coding segments","Here's a concise response to the user's query:

Eukaryotic genes are characterized by their organization on linear chromosomes, which contain multiple copies of each gene. The regulation of eukaryotic genes involves transcription and translation mechanisms. Transcription is the process by which DNA sequences are copied into RNA molecules, while translation is the process by which mRNA sequences are used as templates to assemble amino acid chains into proteins. Eukaryotic genes can also be modified through mechanisms such as random segregation during gamete formation, independent assortment of alleles, and induced mutation.",0.425,0.475,0.448
