ID,QUESTION,ANSWER,Generated Answer,Precision,Recall,F1
16,Identity two common methods of plant propagation used in selective breeding,"Artificial pollination ensures that only the chosen male plant will fertilise the new seeds. Plant cuttings, grafting and using runners or suckers will produce identical plants for the next generation (e.g. for growing bananas commercially).","Two widespread techniques employed in controlled cultivation to produce plants with desired traits, such as improved yield or disease resistance, are selective breeding and genetic modification. Selective breeding involves the creation of organisms with certain desirable characteristics through natural or artificial means, while genetic modification uses genetic technology to introduce specific genes into an organism's DNA.",0.503,0.505,0.504
17,Outline four methods of cloning currently used in horticulture and agriculture,"The cloning methods used in agriculture and horticulture are: 
• cuttings and grafting 
• plant tissue culture 
• embryo splitting 
• nuclear transfer.","The four main methods of cloning used in horticulture and agriculture involve plant tissue culture, somatic embryogenesis, meristem culture, and protoplast fusion. These techniques enable the creation of genetically identical copies of plants with desirable traits, allowing for faster and more reliable breeding programs. Additionally, these methods can be used to produce clones that are resistant to diseases or pests, improving crop yields and reducing environmental impacts.",0.541,0.695,0.609
18,Recall a situation where plant tissue culture is of benefit,"An endangered species could be saved by producing many new plants from a small piece of the rare parent plant. This strategy has been used for the Wollemi pine. Mass production of food plants with tissue culture saves time, money and reduces land use.","Plant tissue culture offers several benefits when applied to situations where traditional cultivation methods are limited or impractical. One specific way is by increasing crop yields through the production of genetically modified crops, such as those with improved nutritional content or pest resistance. This can lead to enhanced food security and availability, particularly in developing nations. Additionally, plant tissue culture can conserve resources by reducing the need for herbicides, pesticides, and other chemicals, while also promoting biodiversity and minimizing the environmental impact of agriculture.",0.518,0.562,0.539
19,Discuss the case for and against the manipulation of plant and animal breeding in agriculture. Use some specific examples in your answer.,"• For the manipulation of plant and animal breeding in agriculture—Many benefits come from selective breeding
 evidenced by the fact that all our agricultural plants and animals have been improved for human use by controlling
 their breeding. We have more nutritious and palatable fruit like apples and grain crops. Farm animals are more
 productive for milk, eggs and meat.
 • Against the manipulation of plant and animal breeding in agriculture—One risk is that a GM species could start
 breeding with related wild species such as the GM salmon. We also risk a further reduction in natural genetic variation.
 There are also many ethical concerns around selectively breeding animals and the consequences for their welfare.","The main arguments in favor of manipulating plant and animal breeding in agriculture, such as genetically modifying crops or creating disease-resistant livestock, include increased yields, improved farm worker and neighbor safety, reduced pesticide use, and increased genetic diversity. Additionally, genetic modification can stimulate the production of milk, induce labor, and improve soil quality.

However, there are also counterarguments and concerns about unintended consequences on ecosystems and human health. For instance, genetically modified organisms (GMOs) may reduce natural gene flow, have unknown long-term effects on food chains and food webs, and potentially harm humans or other living organisms.",0.574,0.598,0.586
20,"Within a cell cycle, cell replication involves three phases. Identify and summarise the three phases.","The cell cycle involves three phases: interphase, mitosis and cytokinesis.
 Interphase involves the cell doubling its mass and duplicating all its components. DNA replication occurs during
 interphase.
 Mitosis is a process of division of the cell nucleus.
 Cytokinesis is the division of the cytoplasm into two daughter cells.","The three primary stages of cell replication within a cell cycle are:

1. Interphase: This stage involves growth, DNA synthesis, and replication. It's divided into three phases - G1, S, and G2.

2. Mitosis: During this stage, the replicated DNA is separated and each daughter cell receives an identical copy of the genetic material.

3. Cytokinesis: The final stage involves the cytoplasm dividing to form two new cells.",0.643,0.746,0.691
21,"Identify the two types of cell division, the number of daughter cells produced and the number of chromosomes in these daughter cells.","There are two types of cell division: mitosis and meiosis.

Mitosis: This process produces two genetically identical daughter cells, each having twice the number of chromosomes (2n). Mitosis is essential for growth, repair, and asexual reproduction in eukaryotes.
Meiosis: Meiosis reduces the number of chromosomes by half, resulting in four genetically distinct daughter cells. Each gamete has n chromosomes (23 in human sperm and egg). Meiosis increases genetic diversity, allowing for recombination and shuffling of alleles during sexual reproduction.","The two main types of cell division are Mitosis and Meiosis. 

Mitosis is a process that produces 2 diploid, identical daughter cells. The number of chromosomes per daughter cell is diploid (2n). 

Meiosis, on the other hand, is a process that produces 4 haploid, non-identical gametes from a single diploid parent cell. Each resulting daughter cell has half the number of chromosomes as the parent cell, which is haploid (n).",0.681,0.666,0.673
22,Recall the events that occur during interphase of the cell cycle,"During the S phase of interphase, DNA is synthesised (chromosomes are replicated); during G1 and G2—normal
 functioning of the cell occurs, the cell increases in size and replicates organelles, and materials are accumulated for
 mitosis; G0—resting phase or phase in which cells undergo cell differentiation to become specialised.","The interphase phase is divided into three stages: G1, S, and G2. During the S phase, DNA replication takes place through the process of DNA synthesis, resulting in two identical DNA molecules. The DNA is then condensed into chromatin. As cell division approaches, the chromosomes are replicated and condense to form visible chromosomes. This preparation enables a precise distribution of chromosomes during mitosis or meiosis. In preparation for mitosis or meiosis, the chromosomes pair up (homologous pairing) and become visible as distinct entities.",0.633,0.669,0.651
23,Distinguish between a chromatid and a chromosome. When are they visible?,"Chromatids are replicates of the chromosome, joined at the centromere. When they separate at anaphase they are
 again called chromosomes. Chromosomes and chromatids become visible under a light microscope when they
 condense in prophase (and stay visible through metaphase, anaphase and telophase).","The key difference between a chromatid and a chromosome is that a chromatid is one of the two identical halves that make up a duplicated chromosome, whereas a chromosome itself is a single DNA molecule containing all or part of an organism's genetic material. Chromosomes are visible during the cell cycle, such as during mitosis and meiosis, whereas chromatids are only visible when they are paired together in a replicated chromosome during prophase of mitosis or meiotic prophase I.",0.585,0.625,0.604
24,Explain how cell division in plants is different from cell division in animals,"Plant cells do not usually have a centriole (a structure present in animal cells); they form spindle fibres by a different
 mechanism, so chromosomes align and chromatids separate as in other eukaryotic cells. During cytokinesis the
 membrane does not constrict as it does in animals, but a new division (the cell plate) forms across the cell, making a
 new cell wall, then new cell membranes for each daughter cell.","Cell division mechanisms and outcomes differ between plant cells, which undergo meristematic cell division to produce new tissues and organs, and animal cells, which primarily undergo mitosis or meiosis for growth, repair, and reproduction. Plant cells have the ability to dedifferentiate into stem cells, allowing for a high degree of plasticity in their development, whereas animal cells typically do not have this capacity. Additionally, plant cells can undergo apomixis, a process that allows them to produce offspring without fertilization, whereas animal cells require sexual reproduction to produce offspring.",0.561,0.566,0.564
25,"Define 'apoptosis'. Explain the reasons for this process in a healthy organism, providing examples.","Apoptosis is a natural and highly controlled process of cell death within a multicellular organism. It is used to control
 the number of cells, to destroy cells with DNA damaged beyond repair and remove cells that have reached their ‘useby date’ or are surplus to body requirements. Examples in humans include: old red and white blood cells, damaged
 skin and intestinal lining cells, monthly menstruation to remove the extra lining of the uterus if pregnancy hasn’t
 occurred; in a developing human embryo: removal of excess brain cells and webbing between the digits. Examples in
 plants include: the root cap cells are destroyed by apoptosis and replaced as penetration into the soil damages them.
 Destruction of targeted cells for these reasons helps keep an organism renewed and healthy.","Apoptosis, a type of programmed cell death, is a crucial mechanism that maintains tissue homeostasis and prevents cancerous growth. In a healthy organism, apoptosis occurs when cells become damaged or are no longer needed, allowing for the removal of waste products and preventing the accumulation of mutations that can lead to cancer. This process helps maintain tissue balance and promotes cellular renewal.",0.634,0.551,0.59
26,Outline the basic functions of DNA and RNA.,DNA carries the instructions that code for the production of RNA and proteins. DNA can self-replicate. RNA plays a major role in partnership with DNA for the process of protein synthesis,"DNA (deoxyribonucleic acid) plays a fundamental role in genetic information storage, while RNA (ribonucleic acid) is crucial for transmission and expression of this information. In the context of genetic information storage, DNA contains the encoded instructions necessary to produce proteins, which are essential for various cellular functions. RNA, on the other hand, serves as an intermediate molecule that carries genetic information from DNA in the nucleus to ribosomes in the cytoplasm, where proteins are synthesized. Specifically, mRNA (messenger RNA) takes the coding sequence for specific proteins from DNA and transports it to ribosomes, while tRNA (transfer RNA) carries amino acids to ribosomes and matches up with mRNA codons to add amino acids to protein chains.",0.494,0.688,0.575
27,"Distinguish between these terms: chromosome, DNA. genome, gene and allele.","A chromosome is a package of a single, very long DNA molecule coiled around a series of histone proteins.
 DNA is the molecule that contains the genetic information of organisms and determines their inherited characteristics.
 The genome of an organism is the sum total of an organism’s DNA, measured in the number of base pairs, contained
 in a haploid (n) set of chromosomes.
 A gene is a segment of DNA that codes for a polypeptide. One or more polypeptides form proteins, which carry out
 functions in organisms.
 An allele is one of two or more alternative forms of the same gene (e.g. alleles for different eye colours).","Here's a concise response to the user's query:

The key differences among chromosomes, DNA, genomes, genes, and alleles are as follows: 

* Chromosomes: Carry genetic information in the form of genes. 
* DNA (Deoxyribonucleic acid): The molecule that contains the genetic instructions used in the development and function of all living organisms.
* Genomes: The total amount of genetic material in an organism.
* Genes: The smallest unit of heredity, a piece of DNA that codes for a particular trait. 
* Alleles: Variants of a gene.

These components relate to each other in terms of heredity and genetics as follows:

* A gene is the basic unit of inheritance, with different alleles coding for distinct traits.
* Chromosomes carry genes, which are organized into genomes.
* The interactions between alleles and genes determine an organism's phenotype, influenced by both genetic (nature) and environmental factors (nurture).

This information provides a foundation for understanding how genetics and heredity shape the characteristics of living organisms.",0.566,0.633,0.597
28,"Using the terms chromosome, histone, DNA and nucleosome, describe how DNA is packaged into a cell nucleus","A long thread of DNA is packed up so that it fits into the nucleus of every cell. The DNA in each chromosome is tightly
 coiled many times around proteins called histones that support its structure. The combined loop of DNA and histone
 is called a nucleosome. Next the nucleosomes are packaged into a thread, which is sometimes described as ‘beads
 on a string’. The end result is a fibre known as chromatin. The chromatin is looped and coiled again to produce a
 super-coiled thread-like structure called a chromosome.","Chromosomes form when DNA is packaged into a cell nucleus, with histones and nucleosomes playing crucial roles in this process. Histone proteins assemble into nucleosomes, which are then compressed and coiled to form chromatin fibers. These fibers ultimately compress to form supercoils, leading to the formation of chromosomes. The process involves wrapping DNA strands around eight histone proteins to create nucleosomes, followed by coil-formation and compaction to produce chromosomes.",0.678,0.637,0.657
29,How do cells ensure that the DNA is copied correctly to the daughter cells?,"A strand of the parent DNA molecule is used as a template strand on which the new complementary strand is
 synthesised. As each daughter DNA molecule consists of one old and one newly synthesised strand, the exact DNA
 pattern can be replicated accurately.","Cells employ several mechanisms to ensure accurate duplication of their genetic material, guaranteeing that resulting DNA molecules in daughter cells are free from errors or mutations. These mechanisms include proofreading and editing during DNA replication, as well as the action of repair enzymes to correct any mistakes that may occur. Additionally, the process of meiosis helps maintain genetic diversity by introducing variation through crossing over, random segregation, and independent assortment. This ensures that each generation has a unique combination of traits and characteristics, allowing species to adapt and evolve in response to changing environmental conditions.",0.475,0.56,0.514
30,Assess the role of enzymes in DNA replication,"Enzymes are vital to the process of DNA replication, which would not begin or proceed without them. For example,
 separate enzymes manage the unzipping and rezipping of the two DNA strands. DNA polymerase is a complex of
 enzymes that selects and attaches the correct bases to the new strand and checks for errors at a rapid pace. Another
 enzyme manages the twisting tension of the double helix. Replication would not be possible without enzymes.","Enzymes employ several mechanisms to facilitate accurate and efficient DNA replication. During unwinding, topoisomerase relaxes DNA from its supercoiled state, allowing helicase to unwind the double helix by breaking hydrogen bonds. The primase enzyme adds short RNA primers to the template strands, which are then used as a starting point for DNA synthesis by DNA polymerase III. For the lagging strand, enzymes like ligase and DNA polymerase I join Okazaki fragments, formed from discontinuous replication, into a complete strand. Proofreading mechanisms, including DNA polymerase I and II, correct errors in nucleotide addition to ensure accurate DNA replication.",0.567,0.59,0.578
31,Recall the names of the two cell division processes and define their main features.,"Mitosis—produces identical new cells for growth and repair
 Meiosis—produces sex cells (gametes) for sexual reproduction with a different combination of alleles to the parent cell","There are two main types of cell division: mitosis and meiosis. Mitosis is the process by which somatic cells divide to produce two genetically identical daughter cells, whereas meiosis is a specialized form of cell division that occurs in germline cells to produce four haploid gametes (eggs or sperm) with unique genetic combinations. The key difference between the two processes lies in the number of daughter cells produced and the role of each process: mitosis produces two diploid cells, whereas meiosis produces four haploid gametes.",0.512,0.607,0.555
32,Write a definition of ' species'.,"Members of the same species:
 • look alike (they are more alike in appearance than other organisms)
 • can interbreed in nature and their offspring are fertile (if they reproduce sexually)
 • cannot interbreed successfully with organisms outside their species group
 • have the same, or very similar, habitat requirements (i.e. have similar geographical distributions).",A species is a distinct group of living organisms that share certain characteristics and are capable of interbreeding to produce fertile offspring. This definition encompasses the idea that a species is a cohesive unit that can reproduce and pass on its genetic traits to future generations.,0.544,0.506,0.524
33,Examine the importance of cell division to a eukaryotic organism.,"Eukaryotes have two types of cell division—mitosis and meiosis. Mitosis is the basis of cell replication in unicellular
 eukaryotes. In multicellular eukaryotes, mitosis is used for growth, cell replacement and tissue repair. Meiosis is the
 basis of sexual reproduction in multicellular eukaryotes. It is essential to produce gametes, and enables two parents to
 contribute genetic information to the offspring and maintain genetic variation in new generations of offspring.","Cell division is a crucial biological process that enables eukaryotic organisms to survive, grow, and develop. Through cell division, new cells are produced, allowing for the replacement of old or damaged cells, tissue repair, and overall growth and development. Additionally, cell division plays a key role in maintaining proper cellular function by removing waste products and regulating the levels of essential molecules within the cell.",0.644,0.618,0.631
34,Examine some of the main differences in gene regulation between prokaryotic and eukaryotic cells.,"In eukaryotic cells, transcription and RNA processing occur within the nucleus, while translation occurs in the cytoplasm. Eukaryotic gene expression is more complex and can be regulated at any stage. In prokaryotic cells, gene expression consists only of transcription and translation, and occurs in the cytoplasm of cells (as prokaryotic cells do not have a nucleus or any other membrane-bound organelles). Here, transcription and translation occur at almost the same time. Gene expression in prokaryotes is regulated during transcription.","The key mechanisms that distinguish gene expression control in prokaryotic cells from those found in eukaryotic cells are:

* Promoter regions: Prokaryotes have a single promoter region, whereas eukaryotes have multiple promoter regions and enhancers.
* Operons: Prokaryotes use operons to regulate gene expression, whereas eukaryotes do not.
* Transcriptional regulation: Eukaryotes have more complex transcriptional regulation involving multiple transcription factors and enhancers, whereas prokaryotes rely on simpler regulatory mechanisms.

These differences lead to distinct post-transcriptional modification processes in prokaryotic cells compared to eukaryotic cells.",0.637,0.617,0.626
35,Explain why the chromosomes of eukaryotic cells can be seen under a light microscope but those of prokaryotes cannot,"The prokaryote chromosome contains only coding regions and no extra non-coding DNA. Also, a prokaryote is a
 simple single cell with many less genes. Eukaryote cells are more complex with many more genes and much longer
 DNA that includes a lot of introns. The extra amount of DNA will only fit into a nucleus if it is tightly condensed and
 super-coiled around histone proteins. This packaging makes eukaryotic DNA large enough to be visible as thread-like
 linear chromosomes when stained and viewed under a light microscope. The single prokaryote chromosome does not
 pack tightly together and is only visible as a dark nucleoid region.","The main structural or compositional difference between eukaryotic cell chromosomes and prokaryote chromosomes is that eukaryotes have membrane-bound linear chromosomes, whereas prokaryotes lack this feature. This allows eukaryotic cells to be visualized under a light microscope due to the presence of characteristic structures like nucleoli, chromosomes, and organelles. In contrast, prokaryotic chromosomes are often invisible at this scale because they are not bounded by membranes or have distinct morphological features.",0.66,0.615,0.637
36,Name the three types of RNA and outline their basic functions.,"Messenger RNA (mRNA) carries a copy of the nucleotide sequence of DNA that specifies the amino acid sequence for
 a protein. The mature mRNA travels from the nucleus to the cytosol, where it binds to ribosomes ready for translation.
 Ribosomal RNA (rRNA) forms a small organelle called a ribosome, which is the site at which the information in the
 mRNA is translated into a chain of amino acids.
 Transfer RNA (tRNA) molecules transfer amino acids from the cytoplasm to the ribosomes, where they are joined to
 form a polypeptide chain. The sequence of the chain is based on the sequence of nucleotides in the mRNA.","There are three main types of RNA involved in protein synthesis: messenger RNA (mRNA), transfer RNA (tRNA), and ribosomal RNA (rRNA). Messenger RNA carries the genetic information from DNA to the ribosome, where it is used as a template for protein synthesis. Transfer RNA plays a key role in bringing the correct amino acid to the growing polypeptide chain during translation. Ribosomal RNA provides the structural framework for protein synthesis at the ribosome.

The primary roles of these forms of RNA are:

* mRNA: carries genetic information from DNA to the ribosome, serving as a template for protein synthesis
* tRNA: brings the correct amino acid to the growing polypeptide chain during translation
* rRNA: provides the structural framework for protein synthesis at the ribosome

In addition, RNA molecules carry the information from DNA in the nucleus of the cell to the cytoplasm where proteins are made.",0.656,0.684,0.67
37,Identify the three stages of polypeptide synthesis in eukaryotes.,"The three stages of polypeptide synthesis in eukaryotes include: 
1. transcription which is the synthesis of mRNA
2. RNA processing, where the pre-mRNA is refined into mature mRNA
3. translation, as the polypeptide chain constructed at the ribosome from code on mature mRNA","Here is the answer to your question:

The three sequential steps involved in the process of synthesizing a polypeptide chain in eukaryotic cells, from the initial transcription of DNA to the final formation of a protein, are: 

1. Transcription: The information encoded in DNA is transcribed into a single strand of mRNA in the nucleus.
2. Translation: The mRNA is translated into a sequence of amino acids at the ribosomes in the cytoplasm. This process involves the binding of tRNA to codons on the mRNA and the addition of amino acids to form a polypeptide chain.

Note that these steps are based on the provided documents, which describe the processes of transcription and translation in eukaryotic cells.",0.618,0.747,0.676
